Camera URL,Quadrant,Camera Location,Point
Camera 30 (http://trafficcam.calgary.ca/loc29.jpg),SE,114 Avenue / 52 Street SE,POINT (-113.958331 50.9504395)
Camera 90 (http://trafficcam.calgary.ca/loc89.jpg),NW/NE,Samis Road / Centre Street North,POINT (-114.0624739 51.0549834)
Camera 38 (http://trafficcam.calgary.ca/loc37.jpg),NW,Crowchild Trail / Shaganappi Trail NW,POINT (-114.149379 51.0988494)
Camera 126 (http://trafficcam.calgary.ca/loc125.jpg),SW,Bow Trail / Sarcee Trail SW,POINT (-114.1639913 51.0527426)
Camera 104 (http://trafficcam.calgary.ca/loc103.jpg),SW/SE,58 Avenue / Macleod Trail S,POINT (-114.071734 51.0014567)
Camera 17 (http://trafficcam.calgary.ca/loc16.jpg),NW,24 Avenue / Crowchild Trail NW,POINT (-114.1182195 51.0741894)
Camera 108 (http://trafficcam.calgary.ca/loc107.jpg),SW,7 Avenue / 8 Street SW,POINT (-114.0811841 51.0470302)
Camera 35 (http://trafficcam.calgary.ca/loc34.jpg),SE,11 Avenue / Macleod Trail S,POINT (-114.0583524 51.042248)
Camera 60 (http://trafficcam.calgary.ca/loc59.jpg),NW,Memorial Drive / 9 Street NW,POINT (-114.0811808 51.0536259)
Camera 79 (http://trafficcam.calgary.ca/loc78.jpg),NW,Country Hills Blvd / Royal Birch Blvd NW,POINT (-114.2130566 51.1498531)
Camera 18 (http://trafficcam.calgary.ca/loc17.jpg),SE,Memorial Drive / Deerfoot Trail SE,POINT (-114.0181691 51.0478522)
Camera 51 (http://trafficcam.calgary.ca/loc50.jpg),NE,16 Avenue / Deerfoot Trail NE,POINT (-114.0281359 51.067286)
Camera 37 (http://trafficcam.calgary.ca/loc36.jpg),SE,5 Avenue / 1 Street SE,POINT (-114.0603862 51.0483314)
Camera 85 (http://trafficcam.calgary.ca/loc84.jpg),NE,Stoney Trail / Deerfoot Trail NE,POINT (-114.0013849 51.1752086)
Camera 28 (http://trafficcam.calgary.ca/loc27.jpg),SW/SE,Glenmore Trail / Macleod Trail S (West),POINT (-114.071551 50.9939175)
Camera 44 (http://trafficcam.calgary.ca/loc43.jpg),SE,8 Avenue / 12 Street SE,POINT (-114.0335844 51.042036)
Camera 131 (http://trafficcam.calgary.ca/loc130.jpg),SE,Stoney Trail / Chaparral Blvd SE,POINT (-114.0256459 50.8888807)
Camera 16 (http://trafficcam.calgary.ca/loc15.jpg),SW,Glenmore Trail / Crowchild Trail SW,POINT (-114.1180484 51.0000379)
Camera 74 (http://trafficcam.calgary.ca/loc73.jpg),NE,Country Hills Blvd / 36 Street NE,POINT (-113.9817289 51.1543016)
Camera 116 (http://trafficcam.calgary.ca/loc115.jpg),NE,McKnight Blvd / Stoney Trail NE,POINT (-113.915867 51.0967588)
Camera 20 (http://trafficcam.calgary.ca/loc19.jpg),SE,22 Avenue / Deerfoot Trail SE,POINT (-113.9947155 51.0337749)
Camera 121 (http://trafficcam.calgary.ca/loc120.jpg),SW,Anderson Road / 14 Street SW,POINT (-114.0944192 50.950741)
